iter,model,coef,estimate
33,logit,effect::Cleanup,-0.0452974603051352
33,logit,effect::Threat,-0.0305423963985699
33,logit,effect::Impact,0.0894738762506646
33,poisson,effect::Cleanup,0.00390088546077991
33,poisson,effect::Threat,0.00578181468560633
33,poisson,effect::Impact,0.00280673126012868
34,logit,effect::Cleanup,-0.0346810419233282
34,logit,effect::Threat,-0.0311433573607805
34,logit,effect::Impact,-0.0622930119067728
34,poisson,effect::Cleanup,0.00400546417162559
34,poisson,effect::Threat,0.00320652713420296
34,poisson,effect::Impact,0.00969866853196327
35,logit,effect::Cleanup,-0.0273893147510929
35,logit,effect::Threat,-0.0434279380414564
35,logit,effect::Impact,0.0339769402851187
35,poisson,effect::Cleanup,0.00251293366174741
35,poisson,effect::Threat,0.00546980930850016
35,poisson,effect::Impact,0.00168208327557298
36,logit,effect::Cleanup,-0.0045630498246523
36,logit,effect::Threat,-0.0823995108497188
36,logit,effect::Impact,-0.123415439847138
36,poisson,effect::Cleanup,0.00310240417113039
36,poisson,effect::Threat,0.00404642141348478
36,poisson,effect::Impact,-0.0011990155143434
37,logit,effect::Cleanup,-0.0192157372866561
37,logit,effect::Threat,-0.0345538826153812
37,logit,effect::Impact,-0.0373210375598638
37,poisson,effect::Cleanup,0.00344627976760506
37,poisson,effect::Threat,0.00293688699317198
37,poisson,effect::Impact,0.00459706942645944
38,logit,effect::Cleanup,-0.0264422256928601
38,logit,effect::Threat,-0.0344185062123487
38,logit,effect::Impact,-0.00640204699848221
38,poisson,effect::Cleanup,0.00561977952694265
38,poisson,effect::Threat,0.00430671643064445
38,poisson,effect::Impact,0.00248594714567622
39,logit,effect::Cleanup,-0.0283977205013962
39,logit,effect::Threat,-0.0273838918660225
39,logit,effect::Impact,-0.150710232648242
39,poisson,effect::Cleanup,0.00569057291902546
39,poisson,effect::Threat,0.00272773773209128
39,poisson,effect::Impact,0.00729304844664804
40,logit,effect::Cleanup,-0.0468845847692454
40,logit,effect::Threat,0.00846735150921916
40,logit,effect::Impact,-0.0566434740786013
40,poisson,effect::Cleanup,0.00333964566555168
40,poisson,effect::Threat,0.00463662178197877
40,poisson,effect::Impact,0.00236793364007318
41,logit,effect::Cleanup,-0.0233916257815624
41,logit,effect::Threat,-0.0317672288781696
41,logit,effect::Impact,-0.11135959692793
41,poisson,effect::Cleanup,0.00297107325250265
41,poisson,effect::Threat,0.00471480363103172
41,poisson,effect::Impact,0.00800834501392248
42,logit,effect::Cleanup,-0.0160944229908648
42,logit,effect::Threat,-0.029638856076094
42,logit,effect::Impact,0.0228410923406307
42,poisson,effect::Cleanup,0.00384868957875176
42,poisson,effect::Threat,0.00521902879766045
42,poisson,effect::Impact,0.00622656831916508
43,logit,effect::Cleanup,-0.000119104482089629
43,logit,effect::Threat,-0.0571750034680503
43,logit,effect::Impact,0.0477194774588986
43,poisson,effect::Cleanup,0.00306881417164858
43,poisson,effect::Threat,0.00403293148753094
43,poisson,effect::Impact,0.00505104396026188
44,logit,effect::Cleanup,-0.0174835104154237
44,logit,effect::Threat,-0.00252884706673303
44,logit,effect::Impact,-0.0253243169551554
44,poisson,effect::Cleanup,0.00440810886309637
44,poisson,effect::Threat,0.00594465243118017
44,poisson,effect::Impact,0.00164823112879837
45,logit,effect::Cleanup,-0.0525054413860862
45,logit,effect::Threat,-0.0114030884529124
45,logit,effect::Impact,-0.0496781475172585
45,poisson,effect::Cleanup,0.00509941642491494
45,poisson,effect::Threat,0.00567181014355882
45,poisson,effect::Impact,0.000622461155452956
46,logit,effect::Cleanup,-0.0274080401390366
46,logit,effect::Threat,0.0168641634606394
46,logit,effect::Impact,-0.00541169843543112
46,poisson,effect::Cleanup,0.00451627955978131
46,poisson,effect::Threat,0.00273240407917741
46,poisson,effect::Impact,0.00628649103142293
47,logit,effect::Cleanup,-0.0545597412427619
47,logit,effect::Threat,-0.0214956544638413
47,logit,effect::Impact,-0.179396101334263
47,poisson,effect::Cleanup,0.00445683429633168
47,poisson,effect::Threat,0.00524289207429395
47,poisson,effect::Impact,0.000255967127080088
48,logit,effect::Cleanup,-0.0440672612287582
48,logit,effect::Threat,-0.0001525466550193
48,logit,effect::Impact,0.00934513910235838
48,poisson,effect::Cleanup,0.00437456791779506
48,poisson,effect::Threat,0.00165979478619704
48,poisson,effect::Impact,0.00475255986908514
49,logit,effect::Cleanup,-0.0334102782309952
49,logit,effect::Threat,-0.0406283471627828
49,logit,effect::Impact,0.0416544576141965
